Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1974-0018,Rezoning - Mixed Use,Superseded,,01/29/1974,,,Plan,,,
REZ1977-0015,Rezoning - Mixed Use,Withdrawn,,04/13/1977,,,Plan,,,
REZ1981-0006,Rezoning - Mixed Use,Withdrawn,,08/12/1980,,,Plan,,,
REZ1986-0010,Rezoning - Mixed Use,Withdrawn,,08/28/1985,,,Plan,,,
REZ1983-0013,Rezoning - Mixed Use,Withdrawn,,11/04/1982,,,Plan,,,
REZ1980-0006,Rezoning - Mixed Use,Superseded,,10/30/1979,,,Plan,,,
REZ1982-0020,Rezoning - Mixed Use,Superseded,,03/23/1982,,,Plan,,,RIPPON LANDING RPC
REZ1985-0008,Rezoning - Mixed Use,Superseded,,09/12/1984,,,Plan,,,
REZ1980-0014,Rezoning - Mixed Use,Superseded,,12/18/1979,,,Plan,,,
REZ1981-0031,Rezoning - Mixed Use,Superseded,,04/06/1981,,,Plan,,,
REZ1985-0025,Rezoning - Mixed Use,Approved,,11/14/1984,,,Plan,,,
REZ1984-0056,Rezoning - Mixed Use,Withdrawn,,06/21/1984,,,Plan,,,
REZ1984-0017,Rezoning - Mixed Use,Withdrawn,,10/31/1983,,,Plan,,,
REZ1980-0010,Rezoning - Mixed Use,Superseded,,11/09/1979,,,Plan,,,
REZ1980-0026,Rezoning - Residential,Withdrawn,,03/17/1980,,,Plan,,,
REZ1984-0051,Rezoning - Residential,Superseded,,05/04/1984,,,Plan,,,
REZ1984-0016,Rezoning - Residential,Superseded,,10/27/1983,,,Plan,,,
REZ1986-0023,Rezoning - Mixed Use,Amended,,02/26/1986,,,Plan,,,ROBERT TRENT JONES RPC
REZ1983-0012,Rezoning - Mixed Use,Superseded,,09/30/1982,,,Plan,,,
REZ1981-0036,Rezoning - Mixed Use,Superseded,,06/01/1981,,,Plan,,,
REZ1987-0002,Rezoning - Mixed Use,Approved,,07/01/1986,,,Plan,14009 MINNIEVILLE RD,8192-71-4141,
REZ1980-0009,Rezoning - Mixed Use,Superseded,,11/02/1979,,,Plan,,,
REZ1983-0016,Rezoning - Mixed Use,Withdrawn,,11/16/1982,,,Plan,,,
REZ1985-0036,Rezoning - Mixed Use,Superseded,,01/15/1985,,,Plan,,,SOUTHVIEW AT PRINCE WILLIAM
REZ1983-0007,Rezoning - Mixed Use,Superseded,,09/01/1982,,,Plan,,,
PLN2008-00001,Rezoning - Non-Residential,Approved,,07/02/2007,,,Plan,8122 BETHLEHEM RD,7596-89-0058," REZ; +/-5.66 ACRES FROM A-1 TO M-1; A-1, FEC"
PLN2006-00091,Rezoning - Proffer Amendment,Approved,,07/28/2005,,,Plan,12510 HOWARD PARK CT,7595-38-4297,PRA PEMBROOKE (AMEND PROFFERS TO REZ1990-0067)
PLN2007-00111,Rezoning - Proffer Interpretation/Determination,Closed,,08/18/2006,,,Plan,13660 DUMFRIES RD,7892-44-9145,SUP DETERMINATION OF VESTED RIGHTS RE: PLN2002-00084
PLN2007-00328,Rezoning - Proffer Interpretation/Determination,Closed,,12/08/2006,,,Plan,7721 JAMES MADISON HY,7296-19-2979,PRI / MADISON CRESCENT / IS DRY SPRINKLER SYSTEM REQUIRED IN ATTIC SPACE OF MULTIPLE R-3 SINGLE FAMILY BUILDINGS
PLN2007-00349,Rezoning - Proffer Interpretation/Determination,Closed,,12/19/2006,,,Plan,7230 WELLINGTON RD,7596-26-1782,PRI 3DF / RE: ENVIRONMENTAL PROFFERS 5.1 & 5.3
PLN2007-00364,Rezoning - Proffer Interpretation/Determination,Closed,,12/22/2006,,,Plan,11581 ROBERTSON DR,7596-60-5437,PRI / ARCHITECTURAL APPROVAL OF WAREHOUSE REZ1989-0056; PROFFER 19(a)
PLN2007-00570,Rezoning - Proffer Interpretation/Determination,Closed,,03/19/2007,,,Plan,10604 BRISTOW RD,7594-68-3079,PRI / NEW BRISTOW VILLAGE VARIOUS PROFFER INTERPRETATIONS/ CLARIFICATIONS
PLN2006-00860,Rezoning - Non-Residential,Withdrawn,,06/01/2006,,,Plan,8798 RIXLEW LN,7696-64-3162,TO REZONE +/- 3.08 ACRES FROM A-1 TO B-1TO BE JOINTLY DEVELOPED AS PART OF MANASSAS MALL
